D;G;C;SC;P;CCIF;GLOSA
09;3;2;01;07;09.3.2.01.07;SERVICIO DE REPARACIÓN DE EQUIPOS DE DEPORTE, CAMPAMENTO Y RECREACIÓN AL AIRE LIBRE
09;3;2;01;08;09.3.2.01.08;ACCESORIOS PARA EQUIPOS DE DEPORTE, CAMPAMENTO Y RECREACIÓN AL AIRE LIBRE
09;3;2;01;09;09.3.2.01.09;OTROS EQUIPOS PARA LA PRÁCTICA DE DEPORTES, CAMPAMENTOS Y RECREACIÓN AL AIRE LIBRE N.C.P.
09;3;3;00;00;09.3.3.00.00;JARDINES PLANTAS Y FLORES
09;3;3;01;00;09.3.3.01.00;JARDINES PLANTAS Y FLORES
09;3;3;01;01;09.3.3.01.01;ALMÁCIGOS, SEMILLAS Y BULBOS
09;3;3;01;02;09.3.3.01.02;ÁRBOLES Y ARBUSTOS
09;3;3;01;03;09.3.3.01.03;FLORES Y ARREGLOS FLORALES
09;3;3;01;04;09.3.3.01.04;PLANTAS Y PASTO
09;3;3;01;05;09.3.3.01.05;MACETEROS, FLOREROS Y RAMAS PARA DECORACIÓN
09;3;3;01;06;09.3.3.01.06;TIERRA Y FERTILIZANTES
09;3;3;01;07;09.3.3.01.07;ÁRBOLES, ARBUSTOS, PLANTAS Y FLORES ARTIFICIALES
09;3;4;00;00;09.3.4.00.00;ANIMALES DOMÉSTICOS Y PRODUCTOS RELACIONADOS
09;3;4;01;00;09.3.4.01.00;ANIMALES DOMÉSTICOS, ACCESORIOS Y PRODUCTOS RELACIONADOS
09;3;4;01;01;09.3.4.01.01;MASCOTAS Y ANIMALES DOMÉSTICOS
09;3;4;01;02;09.3.4.01.02;ALIMENTOS PARA ANIMALES DOMÉSTICOS
09;3;4;01;03;09.3.4.01.03;ACCESORIOS PARA ANIMALES DOMÉSTICOS
09;3;4;01;04;09.3.4.01.04;PRODUCTOS RELACIONADOS A ANIMALES DOMÉSTICOS N.C.P. Y AGREGADOS
09;3;5;00;00;09.3.5.00.00;SERVICIOS DE VETERINARIA Y DE OTRO TIPO PARA ANIMALES DOMÉSTICOS
09;3;5;01;00;09.3.5.01.00;SERVICIOS DE VETERINARIA Y DE OTRO TIPO PARA ANIMALES DOMÉSTICOS
09;3;5;01;01;09.3.5.01.01;ATENCIÓN VETERINARIA, DE HOTELERÍA Y FUNERARIA PARA MASCOTAS
09;3;5;01;02;09.3.5.01.02;PELUQUERÍA Y ESTÉTICA DE MASCOTAS
09;3;5;01;03;09.3.5.01.03;MEDICAMENTOS PARA MASCOTAS
09;3;5;01;04;09.3.5.01.04;OTROS SERVICIOS DE VETERINARIA Y DE OTRO TIPO PARA ANIMALES DOMÉSTICOS N.C.P.
09;4;0;00;00;09.4.0.00.00;SERVICIOS DE RECREACIÓN Y CULTURALES
09;4;1;00;00;09.4.1.00.00;SERVICIOS DE RECREACIÓN Y DEPORTIVOS
09;4;1;01;00;09.4.1.01.00;SERVICIOS PRESTADOS POR CENTROS DE RECREACIÓN Y DEPORTIVOS
09;4;1;01;01;09.4.1.01.01;CUOTAS DE CLUBES DEPORTIVOS
09;4;1;01;02;09.4.1.01.02;ENTRADA A PARQUE DE DIVERSIONES Y FERIAS FOLCLÓRICAS
09;4;1;01;03;09.4.1.01.03;PAGO POR JUEGOS DE VIDEO, TACA-TACA, CAMA ELÁSTICA Y SIMILARES
09;4;1;01;04;09.4.1.01.04;SERVICIOS DE ARRIENDO DIARIOS O POR HORAS PRESTADOS POR CENTROS DEPORTIVOS Y RECREATIVOS
09;4;1;01;05;09.4.1.01.05;SERVICIOS PRESTADOS POR DISCOTECAS Y CENTROS NOCTURNOS
09;4;1;01;06;09.4.1.01.06;ENTRADA PARA VER ESPECTÁCULOS DEPORTIVOS
09;4;1;01;07;09.4.1.01.07;SERVICIOS PRESTADOS POR GIMNASIOS
09;4;1;01;08;09.4.1.01.08;SERVICIOS PRESTADOS POR ASOCIACIONES RECREATIVAS Y VOLUNTARIADO
09;4;1;01;09;09.4.1.01.09;SERVICIOS PRESTADOS EN CENTROS DE ESQUÍ
09;4;1;01;10;09.4.1.01.10;OTROS PAGOS POR ENTRADAS A FIESTAS, ACTIVIDADES Y EVENTOS SOCIALES N.C.P.
09;4;1;02;00;09.4.1.02.00;ARRIENDO DE IMPLEMENTOS DEPORTIVOS Y PARA LA RECREACIÓN
09;4;1;02;01;09.4.1.02.01;ARRIENDO DE EQUIPO AÉREO
09;4;1;02;02;09.4.1.02.02;ARRIENDO DE EQUIPO NÁUTICO
09;4;1;02;03;09.4.1.02.03;ARRIENDO DE EQUIPO PARA LA NIEVE
09;4;1;02;04;09.4.1.02.04;OTROS ARRIENDOS DE IMPLEMENTOS DEPORTIVOS Y PARA LA RECREACIÓN N.C.P.
09;4;1;03;00;09.4.1.03.00;CLASES DE ACTIVIDADES RECREATIVAS O DEPORTIVAS
09;4;1;03;01;09.4.1.03.01;CLASES DE DIVERSOS DEPORTES
09;4;1;03;02;09.4.1.03.02;CLASES DE BAILE
09;4;1;03;03;09.4.1.03.03;CLASES DE MÚSICA Y CANTO
09;4;1;03;04;09.4.1.03.04;CLASES DE COCINA
09;4;1;03;05;09.4.1.03.05;OTRAS CLASES DE ACTIVIDADES RECREATIVAS O DEPORTIVAS N.C.P.
09;4;1;04;00;09.4.1.04.00;SERVICIOS DE GUÍAS
09;4;1;04;01;09.4.1.04.01;GUÍAS DE VIAJE
09;4;1;05;00;09.4.1.05.00;SERVICIO DE PRODUCCIÓN DE FIESTAS Y CEREMONIAS PRIVADAS PRESTADOS POR CENTROS RECREATIVOS Y DE ENTRETENIMIENTO
09;4;1;05;01;09.4.1.05.01;SERVICIO DE PRODUCCIÓN DE FIESTAS Y CEREMONIAS PRIVADAS PRESTADOS POR CENTROS RECREATIVOS Y DE ENTRETENIMIENTO
09;4;2;00;00;09.4.2.00.00;SERVICIOS CULTURALES
09;4;2;01;00;09.4.2.01.00;SERVICIOS PRESTADOS POR ESTABLECIMIENTOS CULTURALES
09;4;2;01;01;09.4.2.01.01;SERVICIOS PRESTADOS POR CINES
09;4;2;01;02;09.4.2.01.02;SERVICIOS CULTURALES PRESTADOS POR TEATROS, ESTADIOS Y SALAS DE CONCIERTOS
09;4;2;01;03;09.4.2.01.03;SERVICIOS DE MUSEOS, BIBLIOTECAS Y SIMILARES
09;4;2;01;04;09.4.2.01.04;SERVICIOS DE PARQUES NACIONALES, JARDINES ZOOLÓGICOS Y SIMILARES
09;4;2;02;00;09.4.2.02.00;ARRIENDOS DE EQUIPO, SERVICIOS DE TELEVISIÓN, FOTOGRÁFICOS Y OTROS
09;4;2;02;01;09.4.2.02.01;ARRIENDO DE MAQUINARIAS Y EQUIPOS PARA LA CULTURA
09;4;2;02;02;09.4.2.02.02;ARRIENDO DE CONSOLAS DE VIDEOJUEGOS EN LOCALES DE INTERNET O ESPECIALIZADOS
09;4;2;02;03;09.4.2.02.03;SERVICIO DE ARRIENDO DE PELÍCULAS Y VIDEO JUEGOS
